"
                吉林大学2017届毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/120632_5a543fc8c57cd.pdf""",
"
                东北师范大学2017年毕业生就业质量年度报告出炉
            ",Error,
"
                东北林业大学2017年毕业生就业质量报告出炉
            ",Error,
复旦大学2017,"href=""http://cdn1.kybimg.com/ohr/2018/01/16/111209_5a5d6d89b5585.pdf""",
"
                上海交通大学2017届毕业生就业质量报告
            ","href=""http://www.job.sjtu.edu.cn/eweb/servlet/resdownload?type=getfile&id=KnWCtCpGfuWC8ExqBYPUVk""",
"
                同济大学2017年毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/16/111007_5a5d6d0f2e669.pdf""",
"
                华东理工大学2017年度毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/110743_5a5431ff5cf0b.pdf""",
"
                东华大学2017届毕业生就业质量报告
            ","href=""https://www.dhu.edu.cn/_upload/article/files/af/7b/e64d58eb49cabb0ff30ab81570d7/a8842230-57e8-4acf-b2b3-ac1ee643ceca.pdf""",
"
                华东师范大学2017届毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/110743_5a5431ff5cf0b.pdf""",
"
                上海外国语大学2017届毕业生就业质量报告
            ","　　<a href=""http://info.shisu.edu.cn/_upload/article/files/e6/5f/14f4b0af46238295da3f9162a0da/bd13745a-020b-4367-a706-121e516d62b4.pdf""><strong>上海外国语大学2017届毕业生就业质量报告1229.pdf</strong></a>&nbsp;",
上海财经大学,"href=""http://cdn1.kybimg.com/ohr/2018/01/16/111939_5a5d6f4b7b94c.pdf""",
"
                南京大学2017年毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/112758_5a5436be68025.pdf""",
"
                东南大学2017届毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/112600_5a543648e7516.pdf""",
"
                中国矿业大学2017年毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/113048_5a5437681d923.pdf""",
"
                河海大学2017年毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/16/112544_5a5d70b8d7438.pdf""",
"
                江南大学2017年毕业生就业质量报告
            ",,需要验证码
"
                南京农业大学毕业生就业质量年度报告（2017）
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/112913_5a543709da1f8.pdf""",
中国药科大学,"href=""http://cdn1.kybimg.com/ohr/2018/01/26/161228_5a6ae2ec5fb46.pdf""",
"
                合肥工业大学2017年毕业生就业质量报告
            ","href=""http://gdjy.hfut.edu.cn/uploads/file/20171229/1514539931440174.pdf""",
"
                浙江大学2017届毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/121135_5a5440f757a7c.pdf""",
"
                厦门大学2017届毕业生就业质量年度报告
            ","href=""https://jyzd.xmu.edu.cn/_upload/article/files/ed/26/31847fd840afb0e3d0e2b38de012/de4f679b-7b73-4aa7-b861-dc77891054f3.pdf""",
山东大学,"href=""http://cdn1.kybimg.com/ohr/2018/01/16/112322_5a5d702a120da.pdf""",
"
                中国海洋大学2017年度毕业生就业质量报告
            ","href=""https://yz.kaoyan.com/ouc/zixun/5a5435db50db4.html""",
"
                中国石油大学（华东）2017届毕业生就业质量报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/112301_5a543595259d5.pdf""",
"
                武汉大学2017届毕业生就业质量年度报告出炉
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/09/114712_5a543b40c3f35.pdf""",
"
                华中科技大学2017年本科毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2020/01/17/154938_5e2167122555b.pdf""",
"
                中国地质大学（武汉）2017届毕业生就业质量年度报告
            ","href=""http://cdn1.kybimg.com/ohr/2018/01/16/113240_5a5d72582e41f.pdf""",
